org_id,total_mentions,avg_prominence,sum_prominence,prominence_rate,unique_policy_areas,most_common_policy,CATEGORY,LOCATION,FOUNDED,MSHIP_STATUS11,LOBBYING11,ABBREVCAT
939,24,0.5416666666666666,13,0.5416666666666666,1,100.0,(1501) Children or youth,DC,1920,(3) Association of institutions,160.0,(16) Other
949,1,1.0,1,1.0,1,100.0,(1410) Christian,DC,1989,(2) Association of individuals,50.0,(8) Identity groups
957,1,0.0,0,0.0,0,,(204) Trade associations,DC,1937,(3) Association of institutions,220.0,(2) Trade and other business associations
974,27,0.0,0,0.0,1,100.0,(1105) Single issue PIG - cons,DC,1990,(1) Institution,0.0,(7) Public interest
977,3,0.3333333333333333,1,0.3333333333333333,0,,(1104) Single issue PIG - liberal,DC,1979,(1) Institution,0.0,(7) Public interest
980,47,0.5531914893617021,26,0.5531914893617021,2,100.0,(1115) single issue international PIG -other,DC,1992,(3) Association of institutions,0.0,(7) Public interest
983,29,0.3793103448275862,11,0.3793103448275862,6,1000.0,(1102) Environmental,DC,1972,(2) Association of individuals,0.0,(7) Public interest
985,4,0.25,1,0.25,1,1000.0,(1102) Environmental,DC,1970,(3) Association of institutions,0.0,(7) Public interest
990,31,0.6774193548387096,21,0.6774193548387096,4,1400.0,(1109) Multi-issue - conservative,DC,1999,(2) Association of individuals,0.0,(7) Public interest
991,2,1.0,2,1.0,2,700.0,"(301) Association of business professionals, managers, executives, and administrators",DC,1927,(2) Association of individuals,0.0,(3) Occupational associations
994,5,0.6,3,0.6,0,,(205) Other business assocations,DC,1993,(3) Association of institutions,0.0,(2) Trade and other business associations
1005,1,0.0,0,0.0,0,,(205) Other business assocations,DC,1979,(3) Association of institutions,30.0,(2) Trade and other business associations
1012,19,0.21052631578947367,4,0.21052631578947367,2,1500.0,(1901) Social welfare or poor,DC,1981,(1) Institution,100.0,(13) Social welfare or poor
1015,2,0.5,1,0.5,0,,(1402) African-Americans,DC,1972,(2) Association of individuals,0.0,(8) Identity groups
1018,1,1.0,1,1.0,1,100.0,(205) Other business assocations,DC,1982,(3) Association of institutions,66.80700112,(2) Trade and other business associations
1019,35,0.5142857142857142,18,0.5142857142857142,2,100.0,(1901) Social welfare or poor,DC,1981,(3) Association of institutions,0.0,(13) Social welfare or poor
1024,2,1.0,2,1.0,2,100.0,(1104) Single issue PIG - liberal,DC,1975,(1) Institution,0.0,(7) Public interest
1027,11,0.18181818181818182,2,0.18181818181818182,2,100.0,(804) Consortium of governments,DC,1970,(4) Government or association of governments,0.0,(14) State and local governments
1031,11,0.09090909090909091,1,0.09090909090909091,1,100.0,(303) Professional association,DC,1947,(2) Association of individuals,2487.499024,(3) Occupational associations
1043,22,0.2727272727272727,6,0.2727272727272727,3,1200.0,(306) Association of Public Employees - Military,DC,1937,(2) Association of individuals,5.09999991,(3) Occupational associations
1047,8,0.25,2,0.25,2,100.0,(606) Other educational,DC,1969,(3) Association of institutions,400.0,(5) Education
1055,1,0.0,0,0.0,0,,(1201) PAC or candidate organization,DC,1999,(6) Other,0.0,(16) Other
1057,27,0.2962962962962963,8,0.2962962962962963,2,100.0,(406) Private sector union - mixed,DC,1938,(2) Association of individuals,1755.0,(4) Unions
1058,6,0.6666666666666666,4,0.6666666666666666,0,,(2401) Other,DC,1973,(2) Association of individuals,480.0,(16) Other
1061,2,0.0,0,0.0,1,100.0,(205) Other business assocations,DC,1975,(3) Association of institutions,279.4010009,(2) Trade and other business associations
1072,5,0.6,3,0.6,3,1600.0,(204) Trade associations,DC,1972,(3) Association of institutions,1160.0,(2) Trade and other business associations
1076,1,0.0,0,0.0,1,1700.0,(204) Trade associations,DC,1972,(3) Association of institutions,0.0,(2) Trade and other business associations
1077,5,0.2,1,0.2,1,1600.0,(204) Trade associations,DC,1982,(3) Association of institutions,810.0,(2) Trade and other business associations
1081,6,0.5,3,0.5,1,100.0,(1109) Multi-issue - conservative,DC,1979,(2) Association of individuals,361.4830017,(7) Public interest
1083,8,0.875,7,0.875,1,100.0,(1112) Government reform,DC,1992,(1) Institution,0.0,(7) Public interest
1087,14,0.6428571428571429,9,0.6428571428571429,5,100.0,(302) Association of public employees,DC,1902,(2) Association of individuals,0.0,(3) Occupational associations
1091,45,0.08888888888888889,4,0.08888888888888889,1,100.0,(1402) African-Americans,DC,1976,(1) Institution,0.0,(8) Identity groups
1093,4,0.0,0,0.0,0,,(1111) Citizenship empowerment,DC,1976,(1) Institution,0.0,(7) Public interest
1094,1,0.0,0,0.0,0,,(1901) Social welfare or poor,DC,1983,(1) Institution,0.0,(13) Social welfare or poor
1097,32,0.25,8,0.25,0,,(1112) Government reform,DC,1977,(1) Institution,0.0,(7) Public interest
1098,22,0.5454545454545454,12,0.5454545454545454,4,2100.0,(2001) Recreational,DC,1989,(1) Institution,0.0,(16) Other
1104,2,0.5,1,0.5,0,,(1109) Multi-issue - conservative,DC,1974,(1) Institution,0.0,(7) Public interest
1105,29,0.6551724137931034,19,0.6551724137931034,2,100.0,(1109) Multi-issue - conservative,DC,1973,(1) Institution,0.0,(7) Public interest
1110,171,0.08187134502923976,14,0.08187134502923976,6,1600.0,(204) Trade associations,DC,1994,(3) Association of institutions,12406.0,(2) Trade and other business associations
1112,48,0.5,24,0.5,2,500.0,(1801) Disabled,DC,1973,(3) Association of institutions,0.0,(16) Other
1113,5,0.2,1,0.2,2,1700.0,(303) Professional association,DC,1981,(2) Association of individuals,275.8999939,(3) Occupational associations
1114,1,1.0,1,1.0,0,,(606) Other educational,DC,1964,(3) Association of institutions,0.0,(5) Education
1116,1,0.0,0,0.0,0,,(1115) single issue international PIG -other,DC,1991,(1) Institution,0.0,(7) Public interest
1118,23,0.43478260869565216,10,0.43478260869565216,4,1600.0,(1106) Single issue PIG - other,DC,1997,(1) Institution,130.0,(7) Public interest
1120,1,1.0,1,1.0,1,1200.0,(204) Trade associations,DC,1987,(3) Association of institutions,404.375,(2) Trade and other business associations
